epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.6216,1.75841,2.76224,1.26915,0.35002,0.42533,0.35789,0.20855,1.46199,1.62166,1.22975,0.000207292,0.000207292,0.000207292
2,75.2627,1.4355,1.40879,1.11617,0.5256,0.51711,0.50318,0.29326,1.31416,1.30922,1.162,0.000407396,0.000407396,0.000407396
3,110.049,1.32355,1.19631,1.07107,0.54622,0.5632,0.54499,0.32275,1.2889,1.28945,1.14701,0.00059925,0.00059925,0.00059925
4,146.306,1.28375,1.12709,1.06315,0.57662,0.56993,0.57032,0.34459,1.23216,1.17061,1.12211,0.000587875,0.000587875,0.000587875
5,178.548,1.23236,1.0554,1.05043,0.65946,0.5844,0.60499,0.37171,1.20015,1.10636,1.10864,0.0005755,0.0005755,0.0005755
6,213.437,1.21894,1.02687,1.0441,0.66318,0.61271,0.63243,0.40071,1.15745,1.05964,1.09015,0.000563125,0.000563125,0.000563125
7,245.947,1.19586,0.987,1.03418,0.6368,0.60927,0.62739,0.38719,1.17268,1.05965,1.09975,0.00055075,0.00055075,0.00055075
8,277.699,1.16938,0.94864,1.02643,0.65043,0.63212,0.64152,0.40302,1.15111,1.00128,1.08729,0.000538375,0.000538375,0.000538375
9,318.108,1.15659,0.92439,1.01877,0.69697,0.61138,0.64599,0.41166,1.13432,0.9962,1.08579,0.000526,0.000526,0.000526
10,349.99,1.15167,0.91885,1.02041,0.6784,0.64508,0.65539,0.41835,1.1316,0.9904,1.08436,0.000513625,0.000513625,0.000513625
11,381.91,1.13929,0.89232,1.00987,0.70432,0.63422,0.66349,0.42017,1.12924,0.96931,1.08305,0.00050125,0.00050125,0.00050125
12,413.866,1.12562,0.86785,1.00461,0.69306,0.66237,0.67793,0.43277,1.1148,0.95702,1.07116,0.000488875,0.000488875,0.000488875
13,448.734,1.11628,0.86765,1.00568,0.7197,0.64313,0.67726,0.42623,1.11795,0.95957,1.07124,0.0004765,0.0004765,0.0004765
14,481.695,1.10584,0.84914,1.0009,0.7065,0.66979,0.68076,0.43992,1.10581,0.95351,1.07787,0.000464125,0.000464125,0.000464125
15,517.73,1.10446,0.83549,0.99774,0.7069,0.6641,0.68555,0.4423,1.09144,0.92063,1.06254,0.00045175,0.00045175,0.00045175
16,553.069,1.09438,0.82585,0.99214,0.70907,0.65704,0.68872,0.44841,1.0809,0.92068,1.06154,0.000439375,0.000439375,0.000439375
17,584.838,1.08626,0.82145,0.99234,0.71351,0.66601,0.69662,0.45455,1.09039,0.9216,1.06747,0.000427,0.000427,0.000427
18,617.654,1.07853,0.80183,0.98931,0.71949,0.67876,0.70398,0.45694,1.08108,0.89946,1.06184,0.000414625,0.000414625,0.000414625
19,651.467,1.07078,0.79646,0.98656,0.72077,0.67496,0.69583,0.45504,1.07315,0.9138,1.05815,0.00040225,0.00040225,0.00040225
20,690.795,1.06547,0.79295,0.98551,0.71511,0.6763,0.70137,0.45887,1.06374,0.89881,1.05271,0.000389875,0.000389875,0.000389875
21,722.588,1.0652,0.78211,0.98198,0.72781,0.68379,0.70582,0.46278,1.06609,0.8846,1.05414,0.0003775,0.0003775,0.0003775
22,754.427,1.05294,0.77005,0.97662,0.7227,0.68043,0.70967,0.46792,1.06032,0.86909,1.04912,0.000365125,0.000365125,0.000365125
23,786.339,1.04817,0.76852,0.97951,0.73991,0.67971,0.70552,0.46625,1.0578,0.87475,1.04861,0.00035275,0.00035275,0.00035275
24,818.085,1.04377,0.75866,0.97648,0.72871,0.68114,0.71652,0.4723,1.05596,0.84288,1.0488,0.000340375,0.000340375,0.000340375
25,855.403,1.04228,0.75731,0.97546,0.73307,0.67676,0.71492,0.47658,1.06194,0.84531,1.05067,0.000328,0.000328,0.000328
26,896.151,1.04639,0.75692,0.97668,0.72445,0.68831,0.71364,0.47108,1.06879,0.86671,1.04848,0.000315625,0.000315625,0.000315625
27,938.057,1.03361,0.74482,0.97455,0.73066,0.67696,0.71982,0.48027,1.04826,0.83896,1.03924,0.00030325,0.00030325,0.00030325
28,969.697,1.02147,0.7369,0.97356,0.73745,0.69312,0.72412,0.48022,1.05896,0.84592,1.05473,0.000290875,0.000290875,0.000290875
29,1003.76,1.02498,0.73261,0.9691,0.73813,0.68264,0.71729,0.47923,1.05179,0.83791,1.0475,0.0002785,0.0002785,0.0002785
30,1037.75,1.02348,0.72685,0.97074,0.74065,0.67829,0.72241,0.48303,1.03554,0.82969,1.03437,0.000266125,0.000266125,0.000266125
31,1069.39,1.01664,0.72305,0.96786,0.74185,0.69662,0.72563,0.48474,1.04619,0.83972,1.04296,0.00025375,0.00025375,0.00025375
32,1107.89,1.01427,0.72152,0.96708,0.73991,0.70377,0.73064,0.48967,1.0404,0.82954,1.04129,0.000241375,0.000241375,0.000241375
33,1155.33,1.01233,0.72274,0.96806,0.73149,0.70024,0.72693,0.4857,1.04094,0.83338,1.04421,0.000229,0.000229,0.000229
34,1203.23,1.00338,0.70927,0.96309,0.74569,0.691,0.72724,0.48595,1.0439,0.82336,1.04753,0.000216625,0.000216625,0.000216625
35,1242.63,1.00899,0.7081,0.96268,0.72968,0.69859,0.72579,0.48475,1.03621,0.82901,1.03549,0.00020425,0.00020425,0.00020425
36,1274.19,0.99568,0.69922,0.96033,0.73929,0.68949,0.72244,0.48366,1.02974,0.8344,1.0311,0.000191875,0.000191875,0.000191875
37,1312.23,0.99819,0.69535,0.9572,0.75275,0.68924,0.72917,0.48864,1.02723,0.81439,1.03254,0.0001795,0.0001795,0.0001795
38,1347.34,0.99129,0.68782,0.95482,0.74761,0.69374,0.73141,0.49234,1.0226,0.81297,1.02823,0.000167125,0.000167125,0.000167125
39,1396.85,0.98576,0.68824,0.95624,0.74784,0.69844,0.72747,0.48819,1.0276,0.82179,1.03536,0.00015475,0.00015475,0.00015475
40,1444.39,0.98896,0.69475,0.95999,0.7352,0.69621,0.73066,0.48961,1.02274,0.80922,1.03392,0.000142375,0.000142375,0.000142375
41,1555.6,0.94825,0.63852,0.95638,0.74831,0.69297,0.73049,0.49006,1.02794,0.81336,1.03582,0.00013,0.00013,0.00013
42,1585.7,0.93288,0.62173,0.95024,0.7653,0.68517,0.73392,0.4936,1.02106,0.81008,1.03013,0.000117625,0.000117625,0.000117625
43,1615.83,0.92695,0.62031,0.94833,0.74887,0.70047,0.73351,0.4942,1.01984,0.81563,1.03015,0.00010525,0.00010525,0.00010525
